Node: Betweenness
29: 844955
319: 804059
126: 798505
368: 788845
198: 777689
50: 673510
347: 648635
30: 636453
27: 612499
346: 496523
353: 476111
426: 412393
600: 410911
251: 404345
52: 403899
253: 398509
174: 383344
105: 337365
5: 309338
623: 308410
404: 278324
529: 269080
431: 265786
724: 248979
940: 227263
475: 222116
587: 221195
400: 209729
837: 208266
44: 206622
942: 206594
219: 195335
403: 189508
24: 188702
284: 184318
523: 173723
151: 170890
472: 168607
538: 159045
441: 158907
34: 156481
494: 153526
526: 142983
596: 139973
72: 139742
281: 135708
421: 135008
70: 132296
496: 131859
209: 128772
535: 127744
82: 124398
443: 116870
276: 114203
531: 111404
514: 104457
474: 104037
12: 102087
48: 101945
507: 101494
106: 100426
835: 99793.4
563: 96701
216: 96217.3
488: 89328
530: 88820.1
517: 87996.5
20: 86450.3
533: 84689.9
342: 84309
913: 81759.4
642: 81528.2
621: 79615.2
406: 78826.2
593: 78340.2
343: 74023.6
46: 73142.2
540: 71887.6
511: 70594.5
108: 70421.6
579: 67751.3
762: 67526.9
519: 67495.2
952: 66574.8
552: 66054.4
917: 65881.4
349: 65617.4
280: 65363
495: 65145.2
493: 63349.7
633: 62942.6
516: 62756.4
41: 62405.5
189: 62167
606: 59154.1
546: 57721.1
432: 57228.9
586: 57011.2
554: 56445.1
851: 55443.6
109: 53805.9
721: 53361.5
513: 53347.3
420: 49945.6
575: 49808
610: 49597.2
371: 48824.7
49: 47710.7
427: 47459.5
490: 46414.2
914: 45957.6
234: 44968.8
57: 44926.6
233: 42845.8
218: 42621.9
18: 41973.2
409: 41122.9
615: 40976.2
700: 40836.3
419: 40182.9
544: 39517.3
907: 38984.9
578: 38321.1
699: 37087
71: 36769.4
483: 36338.8
834: 35646.7
142: 35262.1
726: 35097.6
489: 34962.9
373: 34826.9
666: 34479
185: 34431.2
56: 33769.9
62: 32764.8
698: 32455.8
350: 32352.5
744: 32283.4
36: 32224.3
479: 32216
933: 31506.2
55: 30973.5
569: 30602.8
336: 30543.4
89: 29856.3
631: 29699.7
571: 29503.6
68: 29201
545: 28822.1
617: 28613.2
492: 28549.2
78: 27958.1
352: 27834.9
401: 27123.4
351: 26761.8
35: 26692.6
200: 26677
26: 26643.4
828: 26196.8
718: 25839.5
451: 25755.7
308: 25734.7
745: 25485.6
214: 25451.7
63: 25178.1
332: 25043.9
481: 24486.1
836: 24324.6
6: 24236.6
111: 24228.6
534: 24150.9
708: 23885.5
449: 23631.1
905: 22495.7
402: 22169.2
240: 21967.2
47: 21940.5
590: 21655.6
539: 21556.5
833: 20944.4
878: 20423.4
65: 20350.6
279: 20325.4
518: 20254
8: 20088.4
75: 19991.8
